link	name	budget	domestic_total_gross	domestic_lifetime_gross	release_date	runtime	distributor	genre	rating	awards
http://www.boxofficemojo.com/movies/?id=2daysinparis.htm	2 Days in Paris	N/A	4433994		10-Aug-07	1 hrs. 34 min.	Samuel Goldwyn	Comedy / Drama	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2daysinthevalley.htm	2 Days in the Valley	N/A	11132210		27-Sep-96	1 hrs. 45 min.	MGM	Crime	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2fast2furious.htm	2 Fast 2 Furious	$76 million	127154901		6-Jun-03	1 hrs. 41 min.	Universal	Action	PG-13	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2guns.htm	2 Guns	$61 million	75612460		2-Aug-13	1 hrs. 49 min.	Universal	Action Comedy	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2jacks.htm	2 Jacks	N/A			18-Oct-13	1 hrs. 30 min.	Breaking Glass Pictures	Drama	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=2states.htm	2 States	N/A	2238174		18-Apr-14	2 hrs. 15 min.	UTV Communications	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=20centimeters.htm	20 Centimeters	N/A	6635		27-Oct-06	1 hrs. 53 min.	TLA Releasing	Foreign	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=20dates.htm	20 Dates	N/A	541636		26-Feb-99	1 hrs. 27 min.	Fox Searchlight	Unknown	R	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=20feetfromstardom.htm	20 Feet from Stardom	N/A	4946445		14-Jun-13	1 hrs. 30 min.	Radius-TWC	Documentary	PG-13	"Nominated for One Oscar, Including One Win."
http://www.boxofficemojo.com/movies/?id=20millionmilestoearth.htm	20 Million Miles to Earth	N/A			Jun-57	1 hrs. 22 min.	Columbia	Sci-Fi Horror	Unrated	No Academy Awards Information
http://www.boxofficemojo.com/movies/?id=20onceagain.htm	20 Once Again	N/A	234573		16-Jan-15	2 hrs. 11 min.	CJ Entertainment	Foreign	Unrated	No Academy Awards Information
